Generation,Strain,0copy_mCherry,1copy_mCherry,Multicopy_mCherry,0copy_mCitrine,1copy_mCitrine,Multicopy_mCitrine 
75,DGY2349_2,0.09,88.9,9.7,99.95,0.01,0
75,DGY2349_3,0.55,91.01,7.6,99.95,0.02,0
75,DGY2543_1,8.17,90.09,2.3,2.01,96.44,2.12
75,DGY2543_2,0.53,94.23,4.56,0.07,96.11,5.04
75,DGY2543_3,0.24,91.69,7.02,0.06,93.49,8.3
75,DGY2546_1,0.21,89.05,9.67,0.1,90.41,11.67
75,DGY2546_2,0.12,87.94,10.38,0.05,90.62,11.58
75,DGY2546_3,0.28,93.41,5.56,0.02,94.63,6.91
75,DGY1883_1,99.98,0.02,0,0.3,0.22,99.44
75,DGY1883_2,99.91,0,0.09,0.2,0.16,99.64
75,DGY1883_3,99.86,0.07,0.05,0.16,0.27,99.46
75,DGY1883_4,99.92,0.03,0.03,0.08,0.28,99.64
75,DGY1886_1,99.79,0.06,0.12,0.3,4.63,95.07
75,DGY1886_2,99.85,0.06,0.03,0.34,5.23,94.65
75,DGY1886_3,99.86,0.07,0.04,0.21,1.3,98.31
75,DGY1886_4,99.67,0.07,0.18,0.18,5.03,94.68
75,DGY1917_1,99.99,0.01,0,0.02,0.29,99.67
75,DGY1917_2,99.99,0,0.01,0.31,0.18,99.51
75,DGY1917_3,99.96,0.01,0.01,0.04,0.32,99.65
75,DGY1917_4,99.99,0,0.01,0.02,0.11,99.87
75,DGY1920_1,98.9,1.1,0.02,0.07,8.23,94.61
75,DGY1920_2,100,0,0,0.04,2.9,97.87
75,DGY1920_3,99.98,0,0,0,2.49,98.21
75,DGY1920_4,99.93,0,0.02,0.05,2.53,98.37
75,DGY1976_1,99.82,0,0.17,0.17,0.44,99.4
75,DGY1976_2,100,0,0,0.01,0.39,99.6
75,DGY1976_3,100,0,0,0,0.66,99.36
75,DGY1976_4,99.99,0,0,0.01,0.27,99.73
75,DGY1988_1,99.78,0.17,0.02,0.18,0.31,99.49
75,DGY1988_2,100,0,0,0.01,0.37,99.61
75,DGY1988_3,99.99,0,0.01,0.02,0.28,99.7
75,DGY1988_4,99.96,0,0.04,0.01,0.27,99.71
75,DGY2702_1,0.05,2.65,96.37,0.05,94.6,7.16
75,DGY2702_2,0.09,5.97,92.06,0.04,93.84,7.89
75,DGY2702_3,0.04,2.08,97.52,0.04,88.14,14.93
75,DGY2702_4,0.06,2.41,96.85,0.06,87.56,14.99
75,DGY2748_1,2.34,93.49,4.38,0.16,7.31,94.61
75,DGY2748_2,3.01,93.47,4.3,0.08,25.52,76.9
75,DGY2748_3,1.29,93.49,5.17,0.14,22.57,78.74
75,DGY2748_4,3.14,91.65,5.26,1.64,27.28,72.55
75,DGY2750_1,2.03,93.1,4.92,0.08,51.31,50.09
75,DGY2750_3,1.03,91.37,7.18,0.03,63.42,38.3
75,DGY2751_1,19.45,46.66,33.65,19.1,12.26,69.52
75,DGY2751_2,0.54,52.17,46.52,0.27,9.76,91.05
75,DGY2751_3,0.42,66.2,32.77,0.17,36.04,65.21
75,DGY2751_4,0.49,49.81,49.34,0.32,5.65,94.69
75,DGY2755_1,4.7,88.3,7.22,2.19,24.73,73.81
75,DGY2755_2,1.44,93.45,4.99,0.19,12.5,87.81
75,DGY2755_3,1.05,92.47,6.28,0.1,13.25,87.06
75,DGY2755_4,1.23,92.63,5.97,0.1,18.55,82.2
75,DGY2769_1,0.03,3.72,96.22,0.03,91.38,10.42
75,DGY2769_2,0.01,1.32,98.63,0.01,90.33,11.3
75,DGY2769_3,0.04,3.39,96.55,0.03,91.62,10.47
75,DGY2769_4,0.04,1.49,98.43,0.04,92.47,9.45
87,DGY1_1,99.72,0.01,0,99.93,0,0
87,DGY1_2,99.8,0,0,99.98,0,0
87,DGY1_3,99.63,0,0,99.95,0,0
